decision_date,rate_change,decision,sentiment_date,sentiment,sentiment_dict,days_difference
1996-11-13,0.0,No Change,1996-10-30,0.0288812071084976,"{'positive': 0.1624157875776291, 'negative': 0.13353458046913147, 'neutral': 0.7040496468544006}",14
1996-12-17,0.0,No Change,1996-12-04,-0.5883978083729744,"{'positive': 0.07799529284238815, 'negative': 0.6663931012153625, 'neutral': 0.2556116282939911}",13
1997-02-05,0.0,No Change,1997-01-22,0.1236632242798805,"{'positive': 0.17666494846343994, 'negative': 0.05300172418355942, 'neutral': 0.7703333497047424}",14
1997-03-25,0.25,Increase,1997-03-12,-0.7284629829227924,"{'positive': 0.02856595441699028, 'negative': 0.7570289373397827, 'neutral': 0.2144051194190979}",13
1997-05-20,0.0,No Change,1997-05-07,-0.0356296747922897,"{'positive': 0.16252721846103668, 'negative': 0.19815689325332642, 'neutral': 0.6393158435821533}",13
1997-07-02,0.0,No Change,1997-06-18,-0.4426548555493355,"{'positive': 0.07242070883512497, 'negative': 0.5150755643844604, 'neutral': 0.41250374913215637}",14
1997-08-19,0.0,No Change,1997-08-06,-0.1640978455543518,"{'positive': 0.16622978448867798, 'negative': 0.3303276300430298, 'neutral': 0.5034425258636475}",13
1997-09-30,0.0,No Change,1997-09-17,-0.0373666509985923,"{'positive': 0.10658543556928635, 'negative': 0.14395208656787872, 'neutral': 0.7494624257087708}",13
1997-11-12,0.0,No Change,1997-10-29,0.1236632242798805,"{'positive': 0.17666494846343994, 'negative': 0.05300172418355942, 'neutral': 0.7703333497047424}",14
1997-12-16,0.0,No Change,1997-12-03,-0.3234657943248749,"{'positive': 0.09191548824310303, 'negative': 0.4153812825679779, 'neutral': 0.49270325899124146}",13
1998-02-04,0.0,No Change,1998-01-21,-0.3215555027127266,"{'positive': 0.1152997836470604, 'negative': 0.436855286359787, 'neutral': 0.4478450119495392}",14
1998-03-31,0.0,No Change,1998-03-18,-0.0263250917196273,"{'positive': 0.14711374044418335, 'negative': 0.17343883216381073, 'neutral': 0.6794474720954895}",13
1998-05-19,0.0,No Change,1998-05-06,0.0329627394676208,"{'positive': 0.30454903841018677, 'negative': 0.2715862989425659, 'neutral': 0.4238646626472473}",13
1998-07-01,0.0,No Change,1998-06-17,0.0897528380155563,"{'positive': 0.15475662052631378, 'negative': 0.06500378251075745, 'neutral': 0.7802395820617676}",14
1998-08-18,0.0,No Change,1998-08-05,0.0647138953208923,"{'positive': 0.1910056322813034, 'negative': 0.12629173696041107, 'neutral': 0.6827026605606079}",13
1998-09-29,-0.25,Decrease,1998-09-16,-0.3067407310009002,"{'positive': 0.117715984582901, 'negative': 0.42445671558380127, 'neutral': 0.4578273296356201}",13
1998-10-15,-0.25,Decrease,1998-09-16,-0.3067407310009002,"{'positive': 0.117715984582901, 'negative': 0.42445671558380127, 'neutral': 0.4578273296356201}",29
1998-11-17,-0.25,Decrease,1998-11-04,-0.0224768817424774,"{'positive': 0.12981553375720978, 'negative': 0.1522924154996872, 'neutral': 0.7178921103477478}",13
1999-02-03,0.0,No Change,1999-01-20,-0.0941893011331558,"{'positive': 0.07621769607067108, 'negative': 0.1704069972038269, 'neutral': 0.7533752918243408}",14
1999-03-30,0.0,No Change,1999-03-17,0.114502802491188,"{'positive': 0.2964669167995453, 'negative': 0.18196411430835724, 'neutral': 0.521569013595581}",13
1999-05-18,0.0,No Change,1999-05-05,-0.0075282603502273,"{'positive': 0.19071190059185028, 'negative': 0.19824016094207764, 'neutral': 0.6110479235649109}",13
1999-06-30,0.25,Increase,1999-06-16,0.051998920738697,"{'positive': 0.1452351063489914, 'negative': 0.09323618561029434, 'neutral': 0.7615287899971008}",14
1999-08-24,0.25,Increase,1999-08-11,-0.0683348774909973,"{'positive': 0.09946353733539581, 'negative': 0.16779841482639313, 'neutral': 0.7327380776405334}",13
1999-11-16,0.25,Increase,1999-11-03,-0.4308851510286331,"{'positive': 0.05771125853061676, 'negative': 0.4885964095592499, 'neutral': 0.45369237661361694}",13
2000-02-02,0.25,Increase,2000-01-19,-0.0448518469929695,"{'positive': 0.11562217026948929, 'negative': 0.1604740172624588, 'neutral': 0.7239038348197937}",14
2000-03-21,0.25,Increase,2000-03-08,0.009996548295021,"{'positive': 0.0961153656244278, 'negative': 0.08611881732940674, 'neutral': 0.8177657723426819}",13
2000-05-16,0.5,Increase,2000-05-03,0.0924985185265541,"{'positive': 0.17901264131069183, 'negative': 0.08651412278413773, 'neutral': 0.7344732284545898}",13
2000-06-28,0.0,No Change,2000-06-14,-0.2193690091371536,"{'positive': 0.08509434759616852, 'negative': 0.30446335673332214, 'neutral': 0.6104423403739929}",14
2000-08-22,0.0,No Change,2000-08-09,-0.3745629340410232,"{'positive': 0.13055752217769623, 'negative': 0.5051204562187195, 'neutral': 0.3643220365047455}",13
2000-10-03,0.0,No Change,2000-09-20,0.087168350815773,"{'positive': 0.23766905069351196, 'negative': 0.15050069987773895, 'neutral': 0.6118302941322327}",13
2000-11-15,0.0,No Change,2000-11-01,0.0533238798379898,"{'positive': 0.19625210762023926, 'negative': 0.14292822778224945, 'neutral': 0.6608195900917053}",14
2000-12-19,0.0,No Change,2000-12-06,-0.1962305456399917,"{'positive': 0.0976492315530777, 'negative': 0.29387977719306946, 'neutral': 0.6084709763526917}",13
2001-01-03,-0.5,Decrease,2000-12-06,-0.1962305456399917,"{'positive': 0.0976492315530777, 'negative': 0.29387977719306946, 'neutral': 0.6084709763526917}",28
2001-01-31,-0.5,Decrease,2001-01-17,-0.5826172381639481,"{'positive': 0.06734262406826019, 'negative': 0.6499598622322083, 'neutral': 0.28269752860069275}",14
2001-03-20,-0.5,Decrease,2001-03-07,-0.6890796646475792,"{'positive': 0.07127765566110611, 'negative': 0.7603573203086853, 'neutral': 0.1683649867773056}",13
2001-04-18,-0.5,Decrease,2001-03-07,-0.6890796646475792,"{'positive': 0.07127765566110611, 'negative': 0.7603573203086853, 'neutral': 0.1683649867773056}",42
2001-05-15,-0.5,Decrease,2001-05-02,-0.7850837148725986,"{'positive': 0.03220462426543236, 'negative': 0.817288339138031, 'neutral': 0.15050704777240753}",13
2001-06-27,-0.25,Decrease,2001-06-13,-0.5385054014623165,"{'positive': 0.059032414108514786, 'negative': 0.5975378155708313, 'neutral': 0.3434297740459442}",14
2001-08-21,-0.25,Decrease,2001-08-08,-0.7277378179132938,"{'positive': 0.03741356357932091, 'negative': 0.7651513814926147, 'neutral': 0.19743503630161285}",13
2001-09-17,-0.5,Decrease,2001-08-08,-0.7277378179132938,"{'positive': 0.03741356357932091, 'negative': 0.7651513814926147, 'neutral': 0.19743503630161285}",40
2001-10-02,-0.5,Decrease,2001-09-19,-0.3303461000323295,"{'positive': 0.08467946201562881, 'negative': 0.4150255620479584, 'neutral': 0.5002949833869934}",13
2001-11-06,-0.5,Decrease,2001-10-24,-0.669952031224966,"{'positive': 0.04716039076447487, 'negative': 0.7171124219894409, 'neutral': 0.2357272058725357}",13
2001-12-11,-0.25,Decrease,2001-11-28,-0.6126496866345406,"{'positive': 0.07085984200239182, 'negative': 0.6835095286369324, 'neutral': 0.24563059210777283}",13
2002-01-30,0.0,No Change,2002-01-16,-0.7887771539390087,"{'positive': 0.03717680647969246, 'negative': 0.8259539604187012, 'neutral': 0.13686920702457428}",14
2002-03-19,0.0,No Change,2002-03-06,-0.7044256627559662,"{'positive': 0.05507972836494446, 'negative': 0.7595053911209106, 'neutral': 0.1854148805141449}",13
2002-05-07,0.0,No Change,2002-04-24,-0.2136155813932418,"{'positive': 0.17147128283977509, 'negative': 0.38508686423301697, 'neutral': 0.44344183802604675}",13
2002-06-26,0.0,No Change,2002-06-12,-0.1192724108695983,"{'positive': 0.19111964106559753, 'negative': 0.3103920519351959, 'neutral': 0.49848824739456177}",14
2002-08-13,0.0,No Change,2002-07-31,-0.360542893409729,"{'positive': 0.1339946687221527, 'negative': 0.4945375621318817, 'neutral': 0.37146779894828796}",13
2002-09-24,0.0,No Change,2002-09-11,-0.3182071819901466,"{'positive': 0.10720982402563095, 'negative': 0.4254170060157776, 'neutral': 0.46737316250801086}",13
2002-11-06,-0.5,Decrease,2002-10-23,-0.3917240649461746,"{'positive': 0.10482354462146759, 'negative': 0.4965476095676422, 'neutral': 0.3986288011074066}",14
2002-12-10,0.0,No Change,2002-11-27,-0.5206688940525055,"{'positive': 0.05100443959236145, 'negative': 0.5716733336448669, 'neutral': 0.3773222267627716}",13
2003-01-29,0.0,No Change,2003-01-15,-0.4593949168920517,"{'positive': 0.091474249958992, 'negative': 0.5508691668510437, 'neutral': 0.3576566278934479}",14
2003-03-18,0.0,No Change,2003-03-05,-0.6377105079591274,"{'positive': 0.036115292459726334, 'negative': 0.6738258004188538, 'neutral': 0.2900589406490326}",13
2003-05-06,0.0,No Change,2003-04-23,-0.5646593943238258,"{'positive': 0.07880821079015732, 'negative': 0.6434676051139832, 'neutral': 0.2777242064476013}",13
2003-06-25,-0.25,Decrease,2003-06-11,-0.204072318971157,"{'positive': 0.101942278444767, 'negative': 0.3060145974159241, 'neutral': 0.5920431613922119}",14
2003-08-12,0.0,No Change,2003-07-30,0.0223799347877502,"{'positive': 0.20150502026081085, 'negative': 0.1791250854730606, 'neutral': 0.6193698644638062}",13
2003-09-16,0.0,No Change,2003-07-30,0.0223799347877502,"{'positive': 0.20150502026081085, 'negative': 0.1791250854730606, 'neutral': 0.6193698644638062}",48
2003-10-28,0.0,No Change,2003-10-15,-0.1363845467567443,"{'positive': 0.13050639629364014, 'negative': 0.2668909430503845, 'neutral': 0.6026027202606201}",13
2003-12-09,0.0,No Change,2003-11-26,0.1522140130400657,"{'positive': 0.2663024663925171, 'negative': 0.11408845335245132, 'neutral': 0.6196091175079346}",13
2004-01-28,0.0,No Change,2004-01-14,-0.0189985632896423,"{'positive': 0.16384732723236084, 'negative': 0.18284589052200317, 'neutral': 0.653306782245636}",14
2004-03-16,0.0,No Change,2004-03-03,-0.0149285346269607,"{'positive': 0.16607584059238434, 'negative': 0.1810043752193451, 'neutral': 0.6529198288917542}",13
2004-05-04,0.0,No Change,2004-04-21,0.1114480197429657,"{'positive': 0.19531011581420898, 'negative': 0.08386209607124329, 'neutral': 0.7208277583122253}",13
2004-06-30,0.25,Increase,2004-06-16,0.0371781215071678,"{'positive': 0.15096452832221985, 'negative': 0.11378640681505203, 'neutral': 0.7352490425109863}",14
2004-08-10,0.25,Increase,2004-07-28,-0.1076382100582122,"{'positive': 0.16593441367149353, 'negative': 0.2735726237297058, 'neutral': 0.560492992401123}",13
2004-09-21,0.25,Increase,2004-09-08,0.0256351381540298,"{'positive': 0.2136785238981247, 'negative': 0.18804338574409485, 'neutral': 0.5982781052589417}",13
2004-11-10,0.25,Increase,2004-10-27,0.0708594694733619,"{'positive': 0.1746169924736023, 'negative': 0.10375752300024033, 'neutral': 0.7216255068778992}",14
2004-12-14,0.25,Increase,2004-12-01,-0.0996758192777633,"{'positive': 0.16199631989002228, 'negative': 0.26167213916778564, 'neutral': 0.5763315558433533}",13
2005-02-02,0.25,Increase,2005-01-19,0.1947349831461906,"{'positive': 0.2940591275691986, 'negative': 0.09932414442300797, 'neutral': 0.6066166758537292}",14
2005-03-22,0.25,Increase,2005-03-09,0.1764533966779709,"{'positive': 0.30929845571517944, 'negative': 0.13284505903720856, 'neutral': 0.5578564405441284}",13
2005-05-03,0.25,Increase,2005-04-20,0.1850801631808281,"{'positive': 0.26843762397766113, 'negative': 0.08335746079683304, 'neutral': 0.6482049226760864}",13
2005-06-30,0.25,Increase,2005-06-15,0.1615652590990066,"{'positive': 0.2575716972351074, 'negative': 0.09600643813610077, 'neutral': 0.6464217901229858}",15
2005-08-09,0.25,Increase,2005-07-27,0.1886047199368477,"{'positive': 0.30055466294288635, 'negative': 0.11194994300603867, 'neutral': 0.5874954462051392}",13
2005-09-20,0.25,Increase,2005-09-07,0.0432958900928497,"{'positive': 0.1795123815536499, 'negative': 0.13621649146080017, 'neutral': 0.6842711567878723}",13
2005-11-01,0.25,Increase,2005-10-19,-0.008004605770111,"{'positive': 0.1958199143409729, 'negative': 0.20382452011108398, 'neutral': 0.6003556251525879}",13
2005-12-13,0.25,Increase,2005-11-30,-0.086241528391838,"{'positive': 0.24206991493701935, 'negative': 0.3283114433288574, 'neutral': 0.42961862683296204}",13
2006-01-31,0.25,Increase,2006-01-18,0.0705781355500221,"{'positive': 0.1897491067647934, 'negative': 0.11917097121477127, 'neutral': 0.6910799145698547}",13
2006-03-28,0.25,Increase,2006-03-15,0.1512752547860145,"{'positive': 0.21109478175640106, 'negative': 0.059819526970386505, 'neutral': 0.7290857434272766}",13
2006-05-10,0.25,Increase,2006-04-26,0.0612589642405509,"{'positive': 0.15708798170089722, 'negative': 0.09582901746034622, 'neutral': 0.7470830082893372}",14
2006-06-29,0.25,Increase,2006-06-14,-0.119386963546276,"{'positive': 0.10630545765161514, 'negative': 0.22569242119789124, 'neutral': 0.6680020689964294}",15
2006-08-08,0.0,No Change,2006-07-26,-0.0090524926781654,"{'positive': 0.11774563044309616, 'negative': 0.1267981231212616, 'neutral': 0.755456268787384}",13
2006-09-20,0.0,No Change,2006-09-06,-0.4452206268906593,"{'positive': 0.10329236835241318, 'negative': 0.5485129952430725, 'neutral': 0.34819459915161133}",14
2006-10-25,0.0,No Change,2006-10-12,0.1505714207887649,"{'positive': 0.3254331052303314, 'negative': 0.17486168444156647, 'neutral': 0.4997052550315857}",13
2006-12-12,0.0,No Change,2006-11-29,0.1455012112855911,"{'positive': 0.279060959815979, 'negative': 0.13355974853038788, 'neutral': 0.5873792767524719}",13
2007-01-31,0.0,No Change,2007-01-17,0.0425238162279129,"{'positive': 0.1387788951396942, 'negative': 0.09625507891178131, 'neutral': 0.7649660110473633}",14
2007-03-21,0.0,No Change,2007-03-07,-0.0143217593431472,"{'positive': 0.15146081149578094, 'negative': 0.16578257083892822, 'neutral': 0.6827566027641296}",14
2007-05-09,0.0,No Change,2007-04-25,-0.4406890124082565,"{'positive': 0.1475011259317398, 'negative': 0.5881901383399963, 'neutral': 0.26430872082710266}",14
2007-06-28,0.0,No Change,2007-06-13,0.0253705829381942,"{'positive': 0.12644030153751373, 'negative': 0.10106971859931946, 'neutral': 0.7724900245666504}",15
2007-08-17,-0.5,Decrease,2007-07-25,0.0717571303248405,"{'positive': 0.19348308444023132, 'negative': 0.12172595411539078, 'neutral': 0.6847909688949585}",23
2007-09-18,-0.5,Decrease,2007-09-05,-0.1534879431128502,"{'positive': 0.1053653135895729, 'negative': 0.2588532567024231, 'neutral': 0.6357814073562622}",13
2007-10-31,-0.25,Decrease,2007-10-17,-0.4841853752732277,"{'positive': 0.08646812289953232, 'negative': 0.57065349817276, 'neutral': 0.3428783714771271}",14
2007-12-11,-0.25,Decrease,2007-11-28,-0.1002667322754859,"{'positive': 0.10699958354234695, 'negative': 0.20726631581783295, 'neutral': 0.6857340931892395}",13
2008-01-22,-0.75,Decrease,2008-01-16,-0.0137888491153717,"{'positive': 0.23738455772399902, 'negative': 0.2511734068393707, 'neutral': 0.5114420056343079}",6
2008-01-30,-0.5,Decrease,2008-01-16,-0.0137888491153717,"{'positive': 0.23738455772399902, 'negative': 0.2511734068393707, 'neutral': 0.5114420056343079}",14
2008-03-18,-0.75,Decrease,2008-03-05,-0.7045675590634346,"{'positive': 0.0668145939707756, 'negative': 0.7713821530342102, 'neutral': 0.16180327534675598}",13
2008-04-30,-0.25,Decrease,2008-04-16,-0.7542095258831978,"{'positive': 0.042108289897441864, 'negative': 0.7963178157806396, 'neutral': 0.16157391667366028}",14
2008-10-08,-0.5,Decrease,2008-09-03,-0.6450081914663315,"{'positive': 0.05883319675922394, 'negative': 0.7038413882255554, 'neutral': 0.23732540011405945}",35
2008-10-29,-0.5,Decrease,2008-10-15,-0.849442346021533,"{'positive': 0.03052343614399433, 'negative': 0.8799657821655273, 'neutral': 0.08951080590486526}",14
2008-12-16,-0.75,Decrease,2008-12-03,-0.9047333840280772,"{'positive': 0.01546475850045681, 'negative': 0.9201981425285339, 'neutral': 0.06433717161417007}",13
2009-01-28,0.0,No Change,2009-01-14,-0.9212989872321486,"{'positive': 0.011276536621153355, 'negative': 0.932575523853302, 'neutral': 0.05614795535802841}",14
2009-03-18,0.0,No Change,2009-03-04,-0.8696457874029875,"{'positive': 0.019423114135861397, 'negative': 0.8890689015388489, 'neutral': 0.09150803834199905}",14
2009-04-29,0.0,No Change,2009-04-15,-0.8106805570423603,"{'positive': 0.04282642528414726, 'negative': 0.8535069823265076, 'neutral': 0.10366664081811905}",14
2009-06-24,0.0,No Change,2009-06-10,-0.8267256654798985,"{'positive': 0.03888117894530296, 'negative': 0.8656068444252014, 'neutral': 0.09551196545362473}",14
2009-08-12,0.0,No Change,2009-07-29,-0.60255491361022,"{'positive': 0.050671402364969254, 'negative': 0.6532263159751892, 'neutral': 0.296102374792099}",14
